mass,tanphi,width,total width/mass,primary decay channel,primary decay branching,second decay channel,second decay branching,third decay channel,third decay branching,fourth decay channel,fourth decay branching
2.222222e+02,4.641589e+00,8.635292e-02,0.000388588178859,c t~,4.789133e-01,t c~,4.789133e-01,t u~,2.088205e-02,u t~,2.088205e-02
2.222222e+02,1.291550e+01,6.176979e-01,0.00277964082796,c t~,4.791039e-01,t c~,4.791039e-01,t u~,2.089037e-02,u t~,2.089037e-02
2.222222e+02,3.593814e+01,4.733051e+00,0.0212987316299,c t~,4.791088e-01,t c~,4.791088e-01,t u~,2.089058e-02,u t~,2.089058e-02
2.222222e+02,1.000000e+02,3.659691e+01,0.164686111469,c t~,4.791091e-01,t c~,4.791091e-01,u t~,2.089059e-02,t u~,2.089059e-02
2.444444e+02,1.000000e-02,7.165147e+01,0.293119703294,t c~,4.270315e-01,c t~,4.270315e-01,c c~,1.087084e-01,u t~,1.861410e-02
2.444444e+02,2.782559e-02,9.265274e+00,0.0379034005279,c t~,4.270939e-01,t c~,4.270939e-01,c c~,1.085781e-01,u t~,1.861682e-02
2.444444e+02,7.742637e-02,1.207816e+00,0.00494106635292,c t~,4.275737e-01,t c~,4.275737e-01,c c~,1.075768e-01,t u~,1.863774e-02
2.444444e+02,2.154435e-01,1.674098e-01,0.000684858397247,t c~,4.310812e-01,c t~,4.310812e-01,c c~,1.002558e-01,u t~,1.879063e-02
2.444444e+02,5.994843e-01,3.500111e-02,0.000143186385125,t c~,4.494107e-01,c t~,4.494107e-01,c c~,6.199921e-02,t u~,1.958960e-02
2.444444e+02,1.668101e+00,3.311367e-02,0.000135465038266,t c~,4.750266e-01,c t~,4.750266e-01,u t~,2.070619e-02,t u~,2.070619e-02
2.444444e+02,4.641589e+00,1.506648e-01,0.000616356112065,t c~,4.789919e-01,c t~,4.789919e-01,t u~,2.087904e-02,u t~,2.087904e-02
2.444444e+02,1.291550e+01,1.077891e+00,0.00440955489265,t c~,4.791121e-01,c t~,4.791121e-01,t u~,2.088428e-02,u t~,2.088428e-02
2.444444e+02,3.593814e+01,8.259269e+00,0.0337879247796,t c~,4.791152e-01,c t~,4.791152e-01,t u~,2.088441e-02,u t~,2.088441e-02
2.444444e+02,1.000000e+02,6.386235e+01,0.261255115683,t c~,4.791154e-01,c t~,4.791154e-01,u t~,2.088442e-02,t u~,2.088442e-02
2.666667e+02,1.000000e-02,1.017103e+02,0.381413577323,t c~,4.390907e-01,c t~,4.390907e-01,c c~,8.354413e-02,u t~,1.913711e-02
2.666667e+02,2.782559e-02,1.315263e+01,0.0493223563347,c t~,4.391400e-01,t c~,4.391400e-01,c c~,8.344116e-02,u t~,1.913926e-02
2.666667e+02,7.742637e-02,1.715016e+00,0.00643130919609,t c~,4.395190e-01,c t~,4.395190e-01,c c~,8.265012e-02,u t~,1.915578e-02
2.666667e+02,2.154435e-01,2.381623e-01,0.000893108513361,t c~,4.422839e-01,c t~,4.422839e-01,c c~,7.687941e-02,u t~,1.927628e-02
2.666667e+02,5.994843e-01,5.028731e-02,0.000188577388928,t c~,4.565631e-01,c t~,4.565631e-01,c c~,4.707626e-02,t u~,1.989862e-02
2.666667e+02,1.668101e+00,4.822828e-02,0.000180856027393,t c~,4.760556e-01,c t~,4.760556e-01,t u~,2.074817e-02,u t~,2.074817e-02
2.666667e+02,4.641589e+00,2.198949e-01,0.000824605771924,t c~,4.790259e-01,c t~,4.790259e-01,t u~,2.087763e-02,u t~,2.087763e-02
2.666667e+02,1.291550e+01,1.573279e+00,0.00589979551253,t c~,4.791158e-01,c t~,4.791158e-01,t u~,2.088155e-02,u t~,2.088155e-02
2.666667e+02,3.593814e+01,1.205516e+01,0.0452068443491,c t~,4.791181e-01,t c~,4.791181e-01,t u~,2.088165e-02,u t~,2.088165e-02
2.666667e+02,1.000000e+02,9.321298e+01,0.349548631306,t c~,4.791182e-01,c t~,4.791182e-01,u t~,2.088165e-02,t u~,2.088165e-02
2.888889e+02,1.000000e-02,1.326004e+02,0.459001366961,c t~,4.458580e-01,t c~,4.458580e-01,c c~,6.942262e-02,u t~,1.943057e-02
2.888889e+02,2.782559e-02,1.714750e+01,0.0593567284863,c t~,4.458996e-01,t c~,4.458996e-01,c c~,6.933574e-02,t u~,1.943238e-02
2.888889e+02,7.742637e-02,2.236247e+00,0.00774085470227,t c~,4.462193e-01,c t~,4.462193e-01,c c~,6.866841e-02,u t~,1.944632e-02
2.888889e+02,2.154435e-01,3.108754e-01,0.00107610711246,t c~,4.485490e-01,c t~,4.485490e-01,c c~,6.380601e-02,t u~,1.954785e-02
2.888889e+02,5.994843e-01,6.634774e-02,0.000229665245013,t c~,4.580948e-01,c t~,4.580948e-01,c c~,3.865443e-02,t u~,1.996385e-02
2.888889e+02,1.668101e+00,6.647904e-02,0.000230119744995,t c~,4.571902e-01,c t~,4.571902e-01,W- b~ t,2.039891e-02,t~ b W+,2.034777e-02
2.888889e+02,4.641589e+00,3.120817e-01,0.00108028276614,t c~,4.468155e-01,c t~,4.468155e-01,W- b~ t,3.368029e-02,t~ b W+,3.359697e-02
2.888889e+02,1.291550e+01,2.245290e+00,0.00777215739338,t c~,4.444224e-01,c t~,4.444224e-01,W- b~ t,3.625233e-02,t~ b W+,3.616281e-02
2.888889e+02,3.593814e+01,1.721749e+01,0.0595990015539,t c~,4.440870e-01,c t~,4.440870e-01,W- b~ t,3.660464e-02,t~ b W+,3.651404e-02
2.888889e+02,1.000000e+02,1.331423e+02,0.460877174582,c t~,4.440432e-01,t c~,4.440432e-01,W- b~ t,3.665026e-02,t~ b W+,3.656013e-02
3.111111e+02,1.000000e-02,1.636731e+02,0.526092125932,c t~,4.501005e-01,t c~,4.501005e-01,c c~,6.056972e-02,u t~,1.961452e-02
3.111111e+02,2.782559e-02,2.116598e+01,0.0680335095726,c t~,4.501372e-01,t c~,4.501372e-01,c c~,6.049320e-02,t u~,1.961612e-02
3.111111e+02,7.742637e-02,2.760559e+00,0.00887322567404,t c~,4.504187e-01,c t~,4.504187e-01,c c~,5.990549e-02,t u~,1.962839e-02
3.111111e+02,2.154435e-01,3.840192e-01,0.00123434747266,t c~,4.524689e-01,c t~,4.524689e-01,c c~,5.562653e-02,t u~,1.971773e-02
3.111111e+02,5.994843e-01,8.501029e-02,0.000273247370473,t c~,4.455079e-01,c t~,4.455079e-01,c c~,3.248934e-02,t u~,1.941438e-02
3.111111e+02,1.668101e+00,1.044121e-01,0.000335610333415,t c~,3.627240e-01,c t~,3.627240e-01,t~ b W+,1.198521e-01,W- b~ t,1.196413e-01
3.111111e+02,4.641589e+00,5.565271e-01,0.00178883717103,t c~,3.122163e-01,c t~,3.122163e-01,t~ b W+,1.742862e-01,W- b~ t,1.739807e-01
